"doi","experiment_design","mean_es_per_paper","median_es_per_paper","sd_es_per_paper","mad_es_per_paper","num_es_per_paper","median_N_num_per_paper","no_meta_max_N_per_paper","no_meta_min_N_per_paper","no_meta_median_N_per_paper","num_topic","topic","topic_category","topic_for_analysis"
"10.1145/3290605.3300239","between",0.368460077948723,0.359165699921359,0.103742588963422,0.0707459208343176,12,40,72,40,40,"not relevant","all","all","all"
"10.1145/3290605.3300244","within",0.758723603558912,0.766811580507233,0.132940275135959,0.170842225370418,5,16,16,16,16,"not relevant","all","all","all"
"10.1145/3290605.3300252","between",0.328904157598234,0.305,0.0961599079923983,0.111195,10,53,53,53,53,"not relevant","all","all","all"
"10.1145/3290605.3300252","within",0.548460028236108,0.474204175425938,0.136532860210918,0.112996075211061,3,53,53,15,53,"not relevant","all","all","all"
"10.1145/3290605.3300255","between",0.98488578017961,0.98488578017961,NA,0,1,30,30,30,30,"not relevant","all","all","all"
"10.1145/3290605.3300256","between",0.250083919835631,0.181451759506893,0.156885350116236,0.0555259786449196,6,352.5,1515,1515,1515,"not relevant","all","all","all"
"10.1145/3290605.3300262","between",0.707106781186548,0.707106781186548,NA,0,1,44,44,44,44,"not relevant","all","all","all"
"10.1145/3290605.3300266","within",0.47116875957559,0.47116875957559,NA,0,1,19,19,19,19,"not relevant","all","all","all"
"10.1145/3290605.3300273","between",0.46512,0.46512,NA,0,1,40,40,40,40,"not relevant","all","all","all"
"10.1145/3290605.3300276","between",0.223854661369794,0.124704366318977,0.29602088825498,0.162796678894439,7,196,196,196,196,"not relevant","all","all","all"
"10.1145/3290605.3300277","between",0.348375,0.35,0.0498452963821921,0.0637518,8,50,50,50,50,"not relevant","all","all","all"
"10.1145/3290605.3300279","between",0.853580693314932,0.853580693314932,NA,0,1,40,40,40,40,"not relevant","all","all","all"
"10.1145/3290605.3300280","between",0.244948974278318,0.244948974278318,NA,0,1,100,100,100,100,"not relevant","all","all","all"
"10.1145/3290605.3300280","within",0.249632899569112,0.249632899569112,0.209807728078771,0.219953298374269,2,30,30,30,30,"not relevant","all","all","all"
"10.1145/3290605.3300281","within",0.320403390500966,0.320403390500966,0.0606904828698169,0.0636252630414615,2,25,25,25,25,"not relevant","all","all","all"
"10.1145/3290605.3300288","between",0.588172896527473,0.659545297913646,0.208516317853563,0.259929373698276,14,30,30,5,30,"not relevant","all","all","all"
"10.1145/3290605.3300288","within",0.926282894152753,0.926282894152753,NA,0,1,30,30,30,30,"not relevant","all","all","all"
"10.1145/3290605.3300296","within",0.403973153248091,0.412310562561766,0.0144408165347825,0,3,350,350,350,350,"not relevant","all","all","all"
"10.1145/3290605.3300297","between",0.0718145911310659,0.0718145911310659,0.0297047981743573,0.0311412186568208,2,352.5,6383,6383,6383,"not relevant","all","all","all"
"10.1145/3290605.3300302","between",0.514103410459054,0.426643045835593,0.164111169318901,0.0361054894205782,7,40,40,40,40,"not relevant","all","all","all"
"10.1145/3290605.3300318","within",0.264695905260398,0.264575131106459,0.112608840164719,0.121328616081887,13,40,40,40,40,"not relevant","all","all","all"
"10.1145/3290605.3300323","between",0.411550891069516,0.411550891069516,0.115116150560092,0.120682766281777,2,42,42,42,42,"not relevant","all","all","all"
"10.1145/3290605.3300328","within",0.469774518595626,0.447213595499958,0.188426537810988,0.214079111954112,13,36,36,36,36,"not relevant","all","all","all"
"10.1145/3290605.3300331","within",0.314934620654725,0.264575131106459,0.168625368608218,0.0957390893784361,10,12,12,9,12,"not relevant","all","all","all"
"10.1145/3290605.3300338","between",0.682363039819972,0.682363039819972,0.0419686046383911,0.0439980600472159,2,39,39,39,39,"not relevant","all","all","all"
"10.1145/3290605.3300341","within",0.718956209870996,0.777966015103484,0.11479927798038,0.0904851705555572,3,11,11,4,11,"not relevant","all","all","all"
"10.1145/3290605.3300350","within",0.89151085676412,0.934879671401619,0.0945386859875593,0.0435012002397865,15,12,12,12,12,"not relevant","all","all","all"
"10.1145/3290605.3300351","within",0.801618076526971,0.787400787401181,0.0288880045754171,0.0189833855835683,9,26,26,26,26,"not relevant","all","all","all"
