"","doi","topics","test_id","test_name","N","test_p_value","factor","effectsize_id","effectsize_measure","effectsize_value","CI_upper","CI_lower","CI_type","year","testnames_unified","is_rm","of_interest","effectsize_measure_unified","specifiers","to_manipulate","N_found","test_p_value_found","effectsize_measure_found","effectsize_value_found","CI_upper_found","CI_lower_found","CI_type_found","is_valid","converted_r_es","manual_is_found_es","N_found_manual","N_num"
"1","10.1145/3290605.3300737","hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies",1,"mixed-model multivariate analysis of variance (manova)","60","< .001","Method",2,"Partial Eta Squared (ηp²)",0.075,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"mixed manova","RM","yes","eta_squared","partial",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.273861278752583,NA,NA,60
"2","10.1145/3290605.3300737","hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies",1,"mixed-model multivariate analysis of variance (manova)","60","< .001","Artifact",2,"Partial Eta Squared (ηp²)",0.033,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"mixed manova","RM","yes","eta_squared","partial",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.18165902124585,NA,NA,60
"3","10.1145/3290605.3300737","hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies",1,"mixed-model multivariate analysis of variance (manova)","60",".281","Method × Artifact",2,"Partial Eta Squared (ηp²)",0.04,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"mixed manova","RM","yes","eta_squared","partial",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.2,NA,NA,60
"4","10.1145/3290605.3300704","information systems;applied computing;empirical studies in hci;human-centered computing",1,"logistic regression","UNKNOWN","0.0068","Inclusive Ad (image & text) vs Default",1,"Odds Ratio",1.26,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"logistic regression","not_RM","yes","odds_ratio","",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0842620353308744,"TRUE",NA,NA
"5","10.1145/3290605.3300704","information systems;applied computing;empirical studies in hci;human-centered computing",2,"logistic regression","UNKNOWN","0.1157","Inclusive Text vs Default",1,"Odds Ratio",1.15,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"logistic regression","not_RM","yes","odds_ratio","",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,"FALSE",NA,NA
"6","10.1145/3290605.3300704","information systems;applied computing;empirical studies in hci;human-centered computing",4,"logistic regression","UNKNOWN","0.0165","Inclusive Text vs Default (Men)",1,"Odds Ratio",0.8,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"logistic regression","not_RM","yes","odds_ratio","",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0813630114012282,NA,NA,NA
"7","10.1145/3290605.3300256","social content sharing;human-centered computing",8,"kendall's τb correlation","UNKNOWN","0.006","Extroversion",1,"τb",0.11,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"kendall's tau","not_RM","yes","kendalls_tau","",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.173648391282204,NA,NA,NA
"8","10.1145/3290605.3300256","social content sharing;human-centered computing",9,"kendall's τb correlation","UNKNOWN","0.003","Openness",1,"τb",0.12,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"kendall's tau","not_RM","yes","kendalls_tau","",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.189255127731582,NA,NA,NA
"9","10.1145/3290605.3300457","empirical studies in hci;human-centered computing;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;social and professional topics",2,"repeated measures anova","2081","<.001","self vs. other",1,"η²",0.044,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"repeated measures anova","RM","yes","eta_squared","",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.20976176963403,NA,NA,2081
"10","10.1145/3290605.3300457","empirical studies in hci;human-centered computing;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;social and professional topics",2,"repeated measures anova","2081","<.001","age group",1,"η²",0.02,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"repeated measures anova","RM","yes","eta_squared","",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.14142135623731,NA,NA,2081
