effectsize_measure,of_interest
Pillai's trace,not_relevant
Partial Eta Squared (ηp²),yes
,no_es_reported
Cronbach's Alpha (SUS),not_relevant
Cronbach's Alpha (ARI),not_relevant
Cronbach's Alpha (AttrakDiff PQ),not_relevant
Cronbach's Alpha (AttrakDiff HQI),not_relevant
Cronbach's Alpha (AttrakDiff HQS),not_relevant
Cronbach's Alpha (AttrakDiff ATT),not_relevant
Mean discriminability rate (L* axis),not_relevant
Mean discriminability rate (a* axis),not_relevant
Mean discriminability rate (b* axis),not_relevant
Accuracy difference between highest and lowest L* values,not_relevant
Perceived size for shapes with greater visual density,not_relevant
Perceived size for higher-order mQTons,not_relevant
"Accuracy for larger fixed sizes (e.g., 50 pixels)",not_relevant
"Accuracy for smaller fixed sizes (e.g., 6 pixels)",not_relevant
Difference in shape discriminability between 50 pixel shapes and 6 pixel shapes,not_relevant
Odds Ratio,yes
DID estimate,not_relevant
t,not_relevant
improvement,not_relevant
ϕ,no
V,check test
τb,yes
UNKNOWN,not_relevant
mean difference,not_relevant
η²,yes
r,yes
Cohen's d,yes
Pseudo R2,no
R2,yes
Coefficient,not_relevant
Mediation effect on recommendation quality,not_relevant
Mediation effect on social presence,not_relevant
Total effect on recommendation quality,not_relevant
Total effect on social presence,not_relevant
Indirect effect on competence via social presence,not_relevant
Indirect effect on competence via explanation quality and recommendation quality,not_relevant
Total effect on competence,not_relevant
Total effect on benevolence,not_relevant
Total effect on integrity,not_relevant
Total effect on willingness to depend,not_relevant
Total effect on follow advice,not_relevant
Effect on give information from social presence,not_relevant
Mean (Imp.),not_relevant
SD (Imp.),not_relevant
Mean (Per.),not_relevant
SD (Per.),not_relevant
η²_G,yes
percentage points,not_relevant
F-value,not_relevant
mean rate of correct answers (proposed method),not_relevant
mean rate of correct answers (random fading method),not_relevant
mean rate of correct answers (standard method),not_relevant
reading speed (fading degree 0),not_relevant
reading speed (fading degree 1),not_relevant
"reading speed (first sentences of paragraphs, proposed method)",not_relevant
"reading speed (first sentences of paragraphs, standard method)",not_relevant
"recognition rate (first sentences of paragraphs, proposed method)",not_relevant
"recognition rate (first sentences of paragraphs, standard method)",not_relevant
μ,not_relevant
β,not_relevant
Incremental R2,yes
Total R2,yes
Indirect Effect,not_relevant
Kaiser-Meyer-Olkin (KMO),not_relevant
Cronbach's alpha,not_relevant
Spearman's ρ,yes
Factor Loading,not_relevant
Mean Valence,not_relevant
Mean Arousal,not_relevant
