"effectsize_measure","effectsize_measure_unified","specifiers","of_interest"
"Pillai's trace",NA,NA,"not_relevant"
"Partial Eta Squared (ηp²)","eta_squared","partial","yes"
"",NA,NA,"no_es_reported"
"Cronbach's Alpha (SUS)",NA,NA,"not_relevant"
"Cronbach's Alpha (ARI)",NA,NA,"not_relevant"
"Cronbach's Alpha (AttrakDiff PQ)",NA,NA,"not_relevant"
"Cronbach's Alpha (AttrakDiff HQI)",NA,NA,"not_relevant"
"Cronbach's Alpha (AttrakDiff HQS)",NA,NA,"not_relevant"
"Cronbach's Alpha (AttrakDiff ATT)",NA,NA,"not_relevant"
"Mean discriminability rate (L* axis)",NA,NA,"not_relevant"
"Mean discriminability rate (a* axis)",NA,NA,"not_relevant"
"Mean discriminability rate (b* axis)",NA,NA,"not_relevant"
"Accuracy difference between highest and lowest L* values",NA,NA,"not_relevant"
"Perceived size for shapes with greater visual density",NA,NA,"not_relevant"
"Perceived size for higher-order mQTons",NA,NA,"not_relevant"
"Accuracy for larger fixed sizes (e.g., 50 pixels)",NA,NA,"not_relevant"
"Accuracy for smaller fixed sizes (e.g., 6 pixels)",NA,NA,"not_relevant"
"Difference in shape discriminability between 50 pixel shapes and 6 pixel shapes",NA,NA,"not_relevant"
"Odds Ratio","odds_ratio","","yes"
"DID estimate",NA,NA,"not_relevant"
"t",NA,NA,"not_relevant"
"improvement",NA,NA,"not_relevant"
"ϕ",NA,NA,"no"
"τb","kendalls_tau","","yes"
"UNKNOWN",NA,NA,"not_relevant"
"mean difference",NA,NA,"not_relevant"
"η²","eta_squared","","yes"
"r","pearsons_r","","yes"
"Cohen's d","cohens_d","","yes"
"Pseudo R2",NA,NA,"no"
"R2","r_squared","","yes"
"Coefficient",NA,NA,"not_relevant"
"Mediation effect on recommendation quality",NA,NA,"not_relevant"
"Mediation effect on social presence",NA,NA,"not_relevant"
"Total effect on recommendation quality",NA,NA,"not_relevant"
"Total effect on social presence",NA,NA,"not_relevant"
"Indirect effect on competence via social presence",NA,NA,"not_relevant"
"Indirect effect on competence via explanation quality and recommendation quality",NA,NA,"not_relevant"
"Total effect on competence",NA,NA,"not_relevant"
"Total effect on benevolence",NA,NA,"not_relevant"
"Total effect on integrity",NA,NA,"not_relevant"
"Total effect on willingness to depend",NA,NA,"not_relevant"
"Total effect on follow advice",NA,NA,"not_relevant"
"Effect on give information from social presence",NA,NA,"not_relevant"
"Mean (Imp.)",NA,NA,"not_relevant"
