"doi","topics","test_id","test_name","N","test_p_value","factor","effectsize_id","effectsize_measure","effectsize_value","CI_upper","CI_lower","CI_type","year","testnames_unified","is_rm","of_interest","effectsize_measure_unified","specifiers","to_manipulate","N_found","test_p_value_found","effectsize_measure_found","effectsize_value_found","CI_upper_found","CI_lower_found","CI_type_found","is_valid","converted_r_es"
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",1,"regression analysis","211","UNKNOWN","",1,"R2",0.15,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.387298334620742
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",2,"regression analysis","211","UNKNOWN","",1,"R2",0.1,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.316227766016838
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",3,"regression analysis","211","UNKNOWN","",1,"R2",0.16,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.4
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",4,"regression analysis","211","UNKNOWN","",1,"Incremental R2",0.12,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.346410161513775
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",4,"regression analysis","211","UNKNOWN","",2,"Total R2",0.27,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.519615242270663
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",5,"regression analysis","211","UNKNOWN","",1,"Incremental R2",0.13,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.360555127546399
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",5,"regression analysis","211","UNKNOWN","",2,"Total R2",0.22,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.469041575982343
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",6,"regression analysis","211","UNKNOWN","",1,"Incremental R2",0.16,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.4
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",6,"regression analysis","211","UNKNOWN","",2,"Total R2",0.32,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.565685424949238
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",7,"regression analysis","211","UNKNOWN","",1,"R2",0.21,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.458257569495584
