doi,topics,test_id,test_name,N,test_p_value,factor,effectsize_id,effectsize_measure,effectsize_value,CI_upper,CI_lower,CI_type
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,1,Mixed-Model Multivariate Analysis of Variance (MANOVA),60,< .001,,1,Pillai's trace,.968,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,1,Mixed-Model Multivariate Analysis of Variance (MANOVA),60,< .001,,2,Partial Eta Squared (ηp²),.075,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,1,Mixed-Model Multivariate Analysis of Variance (MANOVA),60,< .001,Method,1,Pillai's trace,.968,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,1,Mixed-Model Multivariate Analysis of Variance (MANOVA),60,< .001,Method,2,Partial Eta Squared (ηp²),.075,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,1,Mixed-Model Multivariate Analysis of Variance (MANOVA),60,< .001,Artifact,1,Pillai's trace,.252,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,1,Mixed-Model Multivariate Analysis of Variance (MANOVA),60,< .001,Artifact,2,Partial Eta Squared (ηp²),.033,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,1,Mixed-Model Multivariate Analysis of Variance (MANOVA),60,.281,Method × Artifact,1,Pillai's trace,.442,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,1,Mixed-Model Multivariate Analysis of Variance (MANOVA),60,.281,Method × Artifact,2,Partial Eta Squared (ηp²),.040,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,2,Univariate ANOVA (SUS Questionnaire),60,.354,,,,,,,
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,2,Univariate ANOVA (SUS Questionnaire),60,.027,Artifact,,,,,,
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,2,Univariate ANOVA (SUS Questionnaire),60,.472,Method × Artifact,,,,,,
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,3,Univariate ANOVA (ARI Scores),60,.002,,,,,,,
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,3,Univariate ANOVA (ARI Scores),60,.005,Artifact,,,,,,
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,3,Univariate ANOVA (ARI Scores),60,.399,Method × Artifact,,,,,,
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,4,Univariate ANOVA (AttrakDiff PQ),60,.002,,,,,,,
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,4,Univariate ANOVA (AttrakDiff PQ),60,< .001,Artifact,,,,,,
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,4,Univariate ANOVA (AttrakDiff PQ),60,.019,Method × Artifact,,,,,,
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,5,Univariate ANOVA (AttrakDiff HQ-I),60,< .001,,,,,,,
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,5,Univariate ANOVA (AttrakDiff HQ-I),60,< .001,Artifact,,,,,,
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,5,Univariate ANOVA (AttrakDiff HQ-I),60,.004,Method × Artifact,,,,,,
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,6,Univariate ANOVA (AttrakDiff HQ-S),60,< .001,,,,,,,
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,6,Univariate ANOVA (AttrakDiff HQ-S),60,< .001,Artifact,,,,,,
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,6,Univariate ANOVA (AttrakDiff HQ-S),60,.030,Method × Artifact,,,,,,
