doi,topics,test_id,test_name,N,test_p_value,factor,effectsize_id,effectsize_measure,effectsize_value,CI_upper,CI_lower,CI_type,N_found,test_p_value_found,effectsize_measure_found,effectsize_value_found,CI_upper_found,CI_lower_found,CI_type_found
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,1,Regression Analysis (Model 1),341,<0.0001,,1.0,R2,0.23,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,1,Regression Analysis (Model 1),341,<0.0001,,2.0,Pearson's r,0.43,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,1,Regression Analysis (Model 1),341,<0.0001,,3.0,SMAPE,3.67,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,2,Regression Analysis (Model 2),341,<0.0001,,1.0,R2,0.28,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,2,Regression Analysis (Model 2),341,<0.0001,,2.0,Pearson's r,0.45,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,2,Regression Analysis (Model 2),341,<0.0001,,3.0,SMAPE,3.65,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,3,Regression Analysis (Model 1),341,<0.0001,,1.0,R2,0.15,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,3,Regression Analysis (Model 1),341,<0.0001,,2.0,Pearson's r,0.32,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,3,Regression Analysis (Model 1),341,<0.0001,,3.0,SMAPE,6.96,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,4,Regression Analysis (Model 2),341,<0.0001,,1.0,R2,0.24,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
