Paper;one_true;p_val;p - val_str;CI;bayes
2023/3581058.html;True;True;False;True;False
2023/3580842.html;False;False;False;False;False
2023/3580863.html;True;True;True;False;False
2023/3580862.html;True;True;False;False;False
2023/3581180.html;False;False;False;False;False
2023/3581570.html;True;True;False;False;False
2023/3581442.html;True;True;False;False;False
2023/3580821.html;True;True;False;False;False
2023/3581382.html;False;False;False;False;False
2023/3581217.html;True;True;False;False;False
2023/3581177.html;False;False;False;False;False
2023/3581476.html;True;True;False;False;False
2023/3580744.html;False;False;False;False;False
2023/3581149.html;False;False;False;False;False
2023/3580808.html;True;True;True;True;False
2023/3580652.html;False;False;False;False;False
2023/3581393.html;True;False;True;False;False
2023/3580967.html;False;False;False;False;False
2023/3581141.html;True;True;False;False;False
2023/3580776.html;False;False;False;False;False
2023/3581146.html;False;False;False;False;False
2023/3581494.html;True;True;False;False;False
2023/3580998.html;True;False;False;True;False
2023/3580728.html;False;False;False;False;False
2023/3581268.html;False;False;False;False;False
2023/3580760.html;False;False;False;False;False
2023/3580657.html;False;False;False;False;False
2023/3580931.html;False;False;False;False;False
2023/3581198.html;True;True;True;False;False
2023/3580720.html;False;False;False;False;False
2023/3581386.html;False;False;False;False;False
2023/3581004.html;True;True;False;False;False
2023/3581335.html;True;True;False;True;False
2023/3581040.html;False;False;False;False;False
2023/3581029.html;True;True;False;False;False
2023/3580735.html;False;False;False;False;False
2023/3580671.html;True;True;False;False;False
2023/3581554.html;False;False;False;False;False
2023/3581286.html;False;False;False;False;False
2023/3581013.html;False;False;False;False;False
2023/3580644.html;True;False;False;True;False
2023/3581453.html;False;False;False;False;False
2023/3581107.html;False;False;False;False;False
2023/3581183.html;True;True;False;False;False
2023/3580796.html;False;False;False;False;False
2023/3581039.html;False;False;False;False;False
2023/3581290.html;False;False;False;False;False
2023/3581038.html;True;True;False;False;False
2023/3581479.html;False;False;False;False;False
2023/3581021.html;True;True;True;False;False
2023/3581521.html;False;False;False;False;False
2023/3580869.html;True;False;False;True;False
2023/3580833.html;False;False;False;False;False
2023/3581384.html;True;True;False;False;False
2023/3580946.html;True;True;False;True;False
2023/3581005.html;False;False;False;False;False
2023/3580910.html;True;True;False;False;False
2023/3580915.html;True;True;False;True;False
2023/3581519.html;True;False;True;False;False
2023/3581054.html;True;True;False;False;False
2023/3581264.html;False;False;False;False;False
2023/3581074.html;True;True;False;False;False
2023/3581316.html;False;False;False;False;False
2023/3580785.html;True;True;False;False;False
2023/3581440.html;False;False;False;False;False
2023/3581561.html;False;False;False;False;False
2023/3581327.html;False;False;False;False;False
2023/3581429.html;True;True;True;True;False
2023/3581334.html;False;False;False;False;False
2023/3581459.html;False;False;False;False;False
2023/3581304.html;False;False;False;False;False
2023/3580868.html;False;False;False;False;False
2023/3580651.html;False;False;False;False;False
2023/3581409.html;True;True;False;False;False
2023/3581433.html;False;False;False;False;False
2023/3580642.html;False;False;False;False;False
2023/3581181.html;True;True;False;False;False
2023/3581512.html;False;False;False;False;False
2023/3580912.html;True;True;True;False;False
2023/3581376.html;False;False;False;False;False
2023/3581061.html;True;True;True;False;False
2023/3581437.html;False;False;False;False;False
2023/3581239.html;False;False;False;False;False
2023/3580673.html;False;False;False;False;False
2023/3581473.html;True;True;False;False;False
2023/3581408.html;False;False;False;False;False
2023/3581371.html;True;True;True;False;False
2023/3581542.html;False;False;False;False;False
2023/3580986.html;True;True;False;False;False
2023/3580641.html;True;True;False;False;False
2023/3580659.html;True;True;False;False;False
2023/3580772.html;True;True;True;True;False
2023/3580917.html;True;True;True;False;False
2023/3581025.html;True;True;False;False;False
2023/3581068.html;False;False;False;False;False
2023/3580886.html;False;False;False;False;False
2023/3580668.html;True;True;False;True;False
2023/3581076.html;True;True;False;False;False
2023/3581444.html;True;True;True;False;False
2023/3581138.html;True;True;False;False;False
2023/3580727.html;True;True;False;False;False
2023/3580891.html;True;True;True;False;False
2023/3581258.html;False;False;False;False;False
2023/3580971.html;False;False;False;False;False
2023/3581215.html;False;False;False;False;False
2023/3581156.html;False;False;False;False;False
2023/3580924.html;False;False;False;False;False
2023/3580647.html;False;False;False;False;False
2023/3581252.html;True;True;True;True;False
2023/3581412.html;False;False;False;False;False
2023/3581006.html;False;False;False;False;False
2023/3581320.html;True;True;False;False;False
2023/3581511.html;True;True;True;False;False
2023/3580866.html;True;True;True;True;False
2023/3581535.html;True;True;False;False;False
2023/3580722.html;False;False;False;False;False
2023/3580876.html;False;False;False;False;False
2023/3581196.html;True;True;False;False;False
2023/3580902.html;False;False;False;False;False
2023/3581112.html;True;False;True;False;False
2023/3581182.html;True;True;True;False;False
2023/3581119.html;True;True;False;False;False
2023/3581125.html;False;False;False;False;False
2023/3581291.html;False;False;False;False;False
2023/3581024.html;False;False;False;False;False
2023/3581018.html;True;True;True;False;False
2023/3580640.html;True;True;False;True;False
2023/3581082.html;False;False;False;False;False
2023/3581406.html;False;False;False;False;False
2023/3580810.html;False;False;False;False;False
2023/3581282.html;True;True;False;True;False
2023/3580799.html;False;False;False;False;False
2023/3581544.html;False;False;False;False;False
2023/3580948.html;True;True;True;False;False
2023/3581402.html;True;True;False;False;False
2023/3581240.html;False;False;False;False;False
2023/3581166.html;True;True;True;False;False
2023/3581306.html;False;False;False;False;False
2023/3581216.html;False;False;False;False;False
2023/3581493.html;False;False;False;False;False
2023/3580894.html;False;False;False;False;False
2023/3581046.html;True;True;False;False;False
2023/3581471.html;False;False;False;False;False
2023/3581103.html;False;False;False;False;False
2023/3580788.html;False;False;False;False;False
2023/3581218.html;True;True;False;False;False
2023/3581052.html;False;False;False;False;False
2023/3581137.html;False;False;False;False;False
2023/3581224.html;True;True;False;False;False
2023/3581223.html;False;False;False;False;False
2023/3580980.html;False;False;False;False;False
2023/3581392.html;False;False;False;False;False
2023/3580988.html;False;False;False;False;False
2023/3581569.html;True;True;False;False;False
2023/3580691.html;False;False;False;False;False
2023/3580755.html;True;True;False;False;False
2023/3581204.html;False;False;False;False;False
2023/3581071.html;True;True;False;True;False
2023/3580764.html;True;True;False;False;False
2023/3580692.html;False;False;False;False;False
2023/3580852.html;True;True;False;False;False
2023/3581356.html;False;False;False;False;False
2023/3580663.html;False;False;False;False;False
2023/3581176.html;False;False;False;False;False
2023/3581387.html;True;True;True;False;False
2023/3580875.html;False;False;False;False;False
2023/3581022.html;True;True;False;False;False
2023/3581400.html;False;False;False;False;False
2023/3580721.html;True;True;False;False;False
2023/3581574.html;False;False;False;False;False
2023/3581372.html;True;True;False;False;False
2023/3581099.html;False;False;False;False;False
2023/3581062.html;True;True;True;False;False
2023/3581355.html;True;True;False;False;False
2023/3581235.html;True;True;True;False;False
2023/3580904.html;True;True;False;False;False
2023/3580837.html;False;False;False;False;False
2023/3580707.html;True;True;False;False;False
2023/3581378.html;False;False;False;False;False
2023/3580726.html;False;False;False;False;False
2023/3580989.html;False;False;False;False;False
2023/3581573.html;False;False;False;False;False
2023/3580996.html;False;False;False;False;False
2023/3580731.html;True;True;False;False;False
2023/3580740.html;True;True;True;False;False
2023/3581509.html;False;False;False;False;False
2023/3580736.html;True;True;False;True;False
2023/3580702.html;False;False;False;False;False
2023/3581243.html;False;False;False;False;False
2023/3580734.html;True;True;True;True;False
2023/3580730.html;False;False;False;False;False
2023/3581398.html;True;True;False;False;False
2023/3581167.html;False;False;False;False;False
2023/3581303.html;True;True;False;False;False
2023/3581120.html;True;True;False;True;False
2023/3581195.html;False;False;False;False;False
2023/3581362.html;False;False;False;False;False
2023/3581527.html;False;False;False;False;False
2023/3580930.html;True;True;False;False;False
2023/3580999.html;False;False;False;False;False
2023/3581263.html;True;True;False;True;False
2023/3581449.html;False;False;False;False;False
2023/3581361.html;False;False;False;False;False
2023/3581424.html;False;False;False;False;False
2023/3581087.html;True;False;False;True;False
2023/3581430.html;True;True;False;False;False
2023/3580940.html;False;False;False;False;False
2023/3581431.html;True;True;True;True;False
2023/3581419.html;True;True;True;False;False
2023/3581108.html;True;True;False;False;False
2023/3581552.html;True;True;False;True;False
2023/3580715.html;False;False;False;False;False
2023/3581435.html;True;True;False;False;False
2023/3580964.html;True;True;False;False;False
2023/3581395.html;True;True;False;True;False
2023/3581115.html;False;False;False;False;False
2023/3580729.html;False;False;False;False;False
2023/3581293.html;True;True;False;True;False
2023/3581111.html;True;False;False;True;False
2023/3581189.html;True;True;False;False;False
2023/3581144.html;False;False;False;False;False
2023/3581163.html;False;False;False;False;False
2023/3581391.html;False;False;False;False;False
2023/3581255.html;False;False;False;False;False
2023/3580674.html;False;False;False;False;False
2023/3580870.html;True;True;False;False;False
2023/3580773.html;True;True;False;False;False
2023/3581325.html;False;False;False;False;False
2023/3581370.html;False;False;False;False;False
2023/3580672.html;True;True;False;False;False
2023/3581548.html;False;False;False;False;False
2023/3580700.html;True;False;True;False;False
2023/3581265.html;True;True;True;False;False
2023/3581344.html;False;False;False;False;False
2023/3580746.html;True;True;False;False;False
2023/3581241.html;True;True;False;False;False
2023/3580679.html;False;False;False;False;False
2023/3581220.html;False;False;False;False;False
2023/3581261.html;True;True;False;False;False
2023/3580885.html;False;False;False;False;False
2023/3581053.html;False;False;False;False;False
2023/3580965.html;False;False;False;False;False
2023/3581100.html;True;True;False;True;False
2023/3580656.html;True;True;False;False;False
2023/3580699.html;True;True;False;True;False
2023/3580676.html;True;True;True;False;False
2023/3581288.html;True;True;False;True;False
2023/3581114.html;False;False;False;False;False
2023/3580661.html;False;False;False;False;False
2023/3581154.html;False;False;False;False;False
2023/3580947.html;False;False;False;False;False
2023/3581260.html;True;True;False;True;False
2023/3581063.html;True;True;True;False;False
2023/3580836.html;False;False;False;False;False
2023/3581248.html;True;True;False;False;False
2023/3581148.html;True;True;True;False;False
2023/3581244.html;True;True;False;False;False
2023/3580688.html;True;True;False;True;False
2023/3581312.html;False;False;False;False;False
2023/3581353.html;False;False;False;False;False
2023/3581296.html;True;True;False;False;False
2023/3580913.html;True;True;False;False;False
2023/3581448.html;True;True;True;True;False
2023/3581525.html;True;True;False;False;False
2023/3581134.html;False;False;False;False;False
2023/3580716.html;False;False;False;False;False
2023/3581031.html;False;False;False;False;False
2023/3580906.html;True;True;True;False;False
2023/3581214.html;False;False;False;False;False
2023/3580925.html;False;False;False;False;False
2023/3581513.html;False;False;False;False;False
2023/3581275.html;True;True;True;False;False
2023/3581030.html;False;False;False;False;False
2023/3580738.html;True;True;False;True;False
2023/3581332.html;False;False;False;False;False
2023/3580929.html;True;True;False;False;False
2023/3581317.html;False;False;False;False;False
2023/3580949.html;False;False;False;False;False
2023/3580824.html;True;True;True;False;False
2023/3580905.html;False;False;False;False;False
2023/3581467.html;True;True;False;False;False
2023/3581132.html;True;True;False;True;False
2023/3580825.html;True;True;False;False;False
2023/3581481.html;False;False;False;False;False
2023/3581019.html;False;False;False;False;False
2023/3581009.html;True;True;False;False;False
2023/3581067.html;True;True;False;True;False
2023/3580970.html;False;False;False;False;False
2023/3580653.html;False;False;False;False;False
2023/3580936.html;False;False;False;False;False
2023/3581302.html;False;False;False;False;False
2023/3581259.html;True;True;False;False;False
2023/3581360.html;True;True;True;False;False
2023/3580985.html;True;True;True;False;False
2023/3581503.html;False;False;False;False;False
2023/3581415.html;False;False;False;False;False
2023/3580701.html;True;True;False;False;False
2023/3581498.html;False;False;False;False;False
2023/3581318.html;True;True;False;False;False
2023/3581280.html;False;False;False;False;False
2023/3581308.html;False;False;False;False;False
2023/3581080.html;False;False;False;False;False
2023/3580777.html;False;False;False;False;False
2023/3581033.html;False;False;False;False;False
2023/3581482.html;True;False;True;False;False
2023/3581470.html;False;False;False;False;False
2023/3581566.html;True;True;False;True;False
2023/3580725.html;True;True;True;False;False
2023/3581541.html;False;False;False;False;False
2023/3581098.html;False;False;False;False;False
2023/3580666.html;False;False;False;False;False
2023/3581489.html;False;False;False;False;False
2023/3581445.html;False;False;False;False;False
2023/3581300.html;False;False;False;False;False
2023/3580976.html;False;False;False;False;False
2023/3581124.html;False;False;False;False;False
2023/3581014.html;True;True;False;False;False
2023/3580705.html;True;True;False;False;False
2023/3581307.html;True;True;False;False;False
2023/3581333.html;False;False;False;False;False
2023/3581299.html;False;False;False;False;False
2023/3580780.html;False;False;False;False;False
2023/3581487.html;False;False;False;False;False
2023/3580849.html;True;True;True;False;False
2023/3581375.html;False;False;False;False;False
2023/3580741.html;True;True;True;False;False
2023/3580898.html;False;False;False;False;False
2023/3581086.html;False;False;False;False;False
2023/3580787.html;True;True;False;False;False
2023/3581477.html;True;True;True;False;False
2023/3580765.html;True;True;True;True;False
2023/3580934.html;False;False;False;False;False
2023/3580710.html;False;False;False;False;False
2023/3581427.html;True;True;False;False;False
2023/3580769.html;True;True;False;False;False
2023/3581003.html;False;False;False;False;False
2023/3581168.html;False;False;False;False;False
2023/3581565.html;True;True;False;False;False
2023/3581228.html;False;False;False;False;False
2023/3580687.html;True;True;False;False;False
2023/3580771.html;False;False;False;False;False
2023/3580916.html;False;False;False;False;False
2023/3581364.html;False;False;False;False;False
2023/3581135.html;True;True;True;False;False
2023/3581423.html;True;True;False;True;False
2023/3580921.html;True;True;False;False;False
2023/3581497.html;False;False;False;False;False
2023/3580932.html;True;True;True;False;False
2023/3581017.html;True;True;False;False;False
2023/3581077.html;True;True;False;True;False
2023/3581310.html;True;True;True;False;False
2023/3581341.html;False;False;False;False;False
2023/3581032.html;False;False;False;False;False
2023/3580982.html;True;True;False;False;False
2023/3580899.html;False;False;False;False;False
2023/3580662.html;False;False;False;False;False
2023/3580923.html;False;False;False;False;False
2023/3580813.html;False;False;False;False;False
2023/3581069.html;True;True;False;False;False
2023/3581490.html;False;False;False;False;False
2023/3580681.html;True;True;True;False;False
2023/3581015.html;True;True;True;False;False
2023/3580638.html;False;False;False;False;False
2023/3581028.html;True;True;True;False;False
2023/3581352.html;False;False;False;False;False
2023/3580758.html;False;False;False;False;False
2023/3581231.html;True;True;False;False;False
2023/3581422.html;False;False;False;False;False
2023/3581187.html;True;True;True;False;False
2023/3580704.html;False;False;False;False;False
2023/3581331.html;False;False;False;False;False
2023/3581461.html;True;True;False;False;False
2023/3581434.html;False;False;False;False;False
2023/3580686.html;False;False;False;False;False
2023/3581425.html;True;True;False;False;False
2023/3581213.html;True;True;False;False;False
2023/3581328.html;False;False;False;False;False
2023/3581045.html;False;False;False;False;False
2023/3581109.html;False;False;False;False;False
2023/3581027.html;True;True;False;False;False
2023/3581524.html;False;False;False;False;False
2023/3580994.html;True;True;False;False;False
2023/3581438.html;True;True;False;False;False
2023/3580995.html;False;False;False;False;False
2023/3581164.html;False;False;False;False;False
2023/3581050.html;True;True;True;False;False
2023/3580881.html;False;False;False;False;False
2023/3581368.html;True;True;True;False;False
2023/3580928.html;True;True;False;False;False
2023/3581044.html;False;False;False;False;False
2023/3580648.html;False;False;False;False;False
2023/3580853.html;True;True;False;False;False
2023/3581085.html;True;True;False;False;False
2023/3581057.html;True;True;False;False;False
2023/3581380.html;False;False;False;False;False
2023/3580774.html;False;False;False;False;False
2023/3581173.html;False;False;False;False;False
2023/3581506.html;False;False;False;False;False
2023/3580937.html;False;False;False;False;False
2023/3580991.html;True;True;False;False;False
2023/3581079.html;True;True;False;False;False
2023/3580703.html;True;True;True;False;False
2023/3580756.html;False;False;False;False;False
2023/3581533.html;False;False;False;False;False
2023/3581159.html;True;True;False;False;False
2023/3581232.html;True;True;False;False;False
2023/3581551.html;False;False;False;False;False
2023/3581447.html;True;True;False;False;False
2023/3581172.html;True;True;False;False;False
2023/3581104.html;False;False;False;False;False
2023/3581346.html;True;True;True;False;False
2023/3581130.html;True;True;False;False;False
2023/3581416.html;True;True;False;True;False
2023/3581151.html;False;False;False;False;False
