Paper;Ground Truth
2020/3376619.html;T
2020/3376277.html;F
2020/3376499.html;F
2020/3376631.html;F
2020/3376445.html;F
2020/3376238.html;T
2020/3376491.html;T
2020/3376414.html;T
2020/3376252.html;F
2020/3376859.html;F
2020/3376478.html;F
2020/3376377.html;F
2020/3376823.html;T
2020/3376218.html;F
2020/3376139.html;T
2020/3376539.html;F
2020/3376381.html;T
2020/3376332.html;T
2020/3376749.html;F
2020/3376492.html;F
2020/3376849.html;T
2020/3376879.html;T
2020/3376650.html;F
2020/3376247.html;T
2020/3376394.html;T
2020/3376257.html;T
2020/3376840.html;F
2020/3376692.html;F
2020/3376569.html;T
