Paper;one_true;p_val;p - val_str;CI;bayes
2023/3581512.html;False;False;False;False;False
2023/3580862.html;True;True;False;False;False
2023/3581386.html;False;False;False;False;False
2023/3580718.html;False;False;False;False;False
2023/3580754.html;False;False;False;False;False
2023/3581146.html;False;False;False;False;False
2023/3580985.html;True;True;True;False;False
2023/3581159.html;True;True;False;False;False
2023/3581290.html;False;False;False;False;False
2023/3581060.html;False;False;False;False;False
2023/3581168.html;False;False;False;False;False
2023/3580716.html;False;False;False;False;False
2023/3581404.html;False;False;False;False;False
2023/3581432.html;True;True;False;True;False
2023/3581568.html;False;False;False;False;False
2023/3580848.html;True;True;True;True;False
2023/3580909.html;False;False;False;False;False
2023/3580986.html;True;True;False;False;False
2023/3581339.html;True;True;False;False;False
2023/3581348.html;True;True;False;True;False
2023/3580984.html;False;False;False;False;False
2023/3581371.html;True;True;True;False;False
2023/3581499.html;False;False;False;False;False
2023/3580722.html;False;False;False;False;False
2023/3581295.html;True;True;False;False;False
2023/3580710.html;False;False;False;False;False
2023/3581245.html;False;False;False;False;False
2023/3580735.html;False;False;False;False;False
2023/3580768.html;False;False;False;False;False
