effectsize_measure,of_interest,effectsize_measure_unified,specifiers
Partial Eta Squared (ηp²),yes,eta_squared,partial
Odds Ratio,yes,odds_ratio,
V,check test,cramers_v,
τb,yes,kendalls_tau,
η²,yes,eta_squared,
r,yes,Pearsons_r,
Cohen's d,yes,Cohens_d,
R2,yes,r_squared,
η²_G,yes,eta_squared,generalized
Incremental R2,yes,r_squared,
Total R2,yes,r_squared,
Spearman's ρ,yes,spearmans_rho,
Odds Ratio (OR),yes,odds_ratio,
Correlation Coefficient,check test,cor,
R^2,yes,r_squared,
Correlation coefficient,check test,cor,
Cohen's D,yes,Cohens_d,
r_s,maybe,cor,
η2,yes,eta_squared,
cor,check test,cor,
ρ,yes,spearmans_rho,
Cramer's V,yes,cramers_v,
d,yes,Cohens_d,
R²,yes,r_squared,
ηp²,yes,eta_squared,partial
ηp2,yes,eta_squared,partial
η² (eta squared),yes,eta_squared,
η_p^2,yes,eta_squared,partial
Pearson's r (overall),yes,Pearsons_r,
Pearson's r (significant asymmetric transfer),yes,Pearsons_r,
Pearson's r (no significant effect),yes,Pearsons_r,
rs,check test,spearmans_rho,
Cramér's V,yes,cramers_v,
Pearson's r,yes,Pearsons_r,
Spearman correlation coefficient,yes,spearmans_rho,
Pearson correlation coefficient,yes,Pearsons_r,
Adjusted R²,maybe,r_squared,adjusted
η²p,yes,eta_squared,partial
Pearson's R,yes,Pearsons_r,
ω (omega),maybe,omega,
"
η_p^2",yes,eta_squared,partial
η_G^2,yes,eta_squared,generalized
r (Correlation Coefficient),yes,Pearsons_r,
Partial Eta Squared (η_p^2),yes,eta_squared,partial
f,maybe,Cohens_f,
OR,yes,odds_ratio,
partial η²,yes,eta_squared,partial
eta squared,yes,eta_squared,
Partial Eta Squared,yes,eta_squared,partial
R,check test,cor,
Correlation with annoyance,check test,cor,
Correlation with roughness,check test,cor,
Correlation with pleasantness,check test,cor,
Correlation with preference,check test,cor,
Correlation with spectral spread,check test,cor,
Correlation with strength,check test,cor,
Correlation with irregularity,check test,cor,
Correlation with spectral centroid,check test,cor,
odds ratio,yes,odds_ratio,
r²,check test,r_squared,
R-squared,yes,r_squared,
Partial η²,yes,eta_squared,partial
ω²,yes,omega_squared,
r^2,yes,r_squared,
Spearman's rho,yes,spearmans_rho,
adjusted R^2,yes,r_squared,adjusted
correlation coefficient (r),yes,Pearsons_r,
Partial Eta Squared (η²p),yes,eta_squared,partial
Partial Eta Squared (η²),yes,eta_squared,partial
est. ω²,check test,omega_squared,
Pearson r-value (5-fold cross validation),yes,Pearsons_r,
Pearson r-value (leave-one-subject-out),yes,Pearsons_r,
Pearson r-value (customized leave-one-subject-out),yes,Pearsons_r,
η^2_G,yes,eta_squared,generalized
partial eta-squared,yes,eta_squared,partial
R-squared (dX),yes,r_squared,
R-squared (dY),yes,r_squared,
within-user R2,yes,r_squared,
cross-user R2,yes,r_squared,
ω,maybe,omega,
Cohen's d (Noticing vs. Synchronizing),yes,Cohens_d,
Cohen's d (Differentiating vs. Synchronizing),yes,Cohens_d,
$\u03B7 _G^2$,yes,eta_squared,generalized
Kramer's v,yes,cramers_v,
Effect Size (Time),check test,check_test,
Effect Size (Accuracy),check test,check_test,
R^2 Adjusted,yes,r_squared,adjusted
Cohen's f,yes,cohens_f,
partial ɳ²,yes,eta_squared,partial
Adjusted R² (μ),yes,r_squared,adjusted
Adjusted R² (σ),yes,r_squared,adjusted
Adjusted R^2,yes,r_squared,adjusted
partial eta squared,yes,eta_squared,partial
Effect size,check test,check_test,
R_adj^2,yes,r_squared,adjusted
R^2 (left hand same-side taps),yes,r_squared,
R^2 (right hand same-side taps),yes,r_squared,
R^2 (right to left alternate-side taps),yes,r_squared,
R^2 (left to right alternate-side taps),yes,r_squared,
η^2_p,yes,eta_squared,partial
effect size,check test,check_test,
partial eta-squared (ηp²),yes,eta_squared,partial
Cramer's Phi,check test,cramers_v,
Pearson Correlation (Q3),yes,Pearsons_r,
Pearson Correlation (Q4),yes,Pearsons_r,
Pearson Correlation (Q5),yes,Pearsons_r,
Pearson Correlation (Q6),yes,Pearsons_r,
Pearson Correlation,yes,Pearsons_r,
Kendall's tau,yes,kendalls_tau,
rho,yes,spearmans_rho,
Partial η² (η²_p),yes,eta_squared,partial
Cohen's drm,yes,Cohens_d,repeated_measures
rho coefficient,yes,spearmans_rho,
Correlation with Team Psychological Safety,check test,cor,
Correlation with Team Composition,check test,cor,
Correlation with Clear Direction,check test,cor,
Correlation with Team Cohesion,check test,cor,
Correlation with Team Efficacy,check test,cor,
Eta-squared,yes,eta_squared,
ρ (Rank of Picture Realism and Perceptions),check test,spearmans_rho,
Correlation between Donation and Affect,check test,cor,
\hat{\eta}^2_G,yes,eta_squared,generalized
Correlation Coefficients for Task Attributes and Activity Attributes,check test,cor,
Correlation Coefficients for Stress Level and Task Choice,check test,cor,
Correlation Coefficients for Energy Level and Task Choice,check test,cor,
"
        
         \\omega
        

         2
        
        ",check test,omega_squared,
η²ₚ,yes,eta_squared,partial
partial η2,yes,eta_squared,partial
